fall,spring,plan_a,plan_b,plan_c,plan_d,plan_e,plan_f,plan_i,plan_j
8/16/21,1/3/21,2570.33,3080.95,3412.05,3661.45,3992.55,841.73,885.8,1817.83
8/23/21,1/10/21,2452.42,2939.62,3255.53,3493.49,3809.41,803.12,845.17,1734.44
8/30/21,1/17/21,2287.36,2741.76,3036.41,3258.35,3553,749.06,788.28,1617.7
9/6/21,1/24/21,2122.29,2543.9,2817.29,3023.22,3296.6,695.01,731.39,1500.96
9/13/21,1/31/21,1957.22,2346.04,2598.17,2788.08,3040.2,640.95,674.51,1384.22
9/20/21,2/7/21,1792.16,2148.19,2379.04,2552.94,2783.8,586.89,617.62,1267.48
9/27/21,2/14/21,1627.09,1950.33,2159.92,2317.8,2527.39,532.84,560.74,1150.74
10/4/21,2/21/21,1509.18,1809,2003.41,2149.84,2344.25,494.23,520.1,1067.35
10/11/21,2/28/21,1391.28,1667.67,1846.89,1981.89,2161.11,455.62,479.47,983.96
10/18/21,3/7/21,1226.21,1469.81,1627.77,1746.75,1904.7,401.56,422.58,867.22
10/25/21,3/14/21,1061.15,1271.95,1408.64,1511.61,1648.3,347.5,365.7,750.48
11/1/21,3/21/21,896.08,1074.09,1189.52,1276.47,1391.9,293.45,308.81,633.74
11/8/21,3/28/21,731.01,876.23,970.4,1041.33,1135.5,239.39,251.92,517
11/15/21,4/4/21,565.94,678.37,751.28,806.19,879.09,185.34,195.04,400.26
11/22/21,4/11/21,495.2,593.58,657.37,705.42,769.21,162.17,170.66,350.22
11/29/21,4/18/21,330.13,395.72,438.24,470.28,512.8,108.11,113.77,233.48
12/6/21,4/25/21,165.07,197.86,219.12,235.14,256.4,54.06,56.89,116.74
12/13/21,5/2/21,0,0,0,0,0,0,0,0
